timestamp,session_id,query,response,crisis_flag
2025-08-23T00:13:50.620372,test123,"Hello, how are you?",Hello! I'm here to provide mental health support and information. How are you feeling today?,False
2025-08-23T00:15:32.615898,test123,I am feeling sad,"Depression is a serious mental health condition that affects how you feel, think, and behave. Symptoms may include persistent sadness, loss of interest in activities, changes in appetite or sleep, and feelings of worthlessness. Professional help from a therapist or psychiatrist is crucial for effective treatment.",False
2025-08-23T00:15:37.516655,test123,I am feeling anxious,"Anxiety is a common mental health concern. Some strategies that may help include deep breathing exercises, mindfulness meditation, regular exercise, and maintaining a consistent sleep schedule. It's important to talk to a mental health professional if anxiety is significantly impacting your daily life.",False
2025-08-23T00:16:30.620565,test123,I am feeling sad,"Depression is a serious mental health condition that affects how you feel, think, and behave. Symptoms may include persistent sadness, loss of interest in activities, changes in appetite or sleep, and feelings of worthlessness. Professional help from a therapist or psychiatrist is crucial for effective treatment.",False
2025-08-23T00:16:36.442172,test123,I am feeling anxious,"Anxiety is a common mental health concern. Some strategies that may help include deep breathing exercises, mindfulness meditation, regular exercise, and maintaining a consistent sleep schedule. It's important to talk to a mental health professional if anxiety is significantly impacting your daily life.",False
2025-08-23T00:18:57.778876,test123,I am feeling sad,"Depression is a serious mental health condition that affects how you feel, think, and behave. Symptoms may include persistent sadness, loss of interest in activities, changes in appetite or sleep, and feelings of worthlessness. Professional help from a therapist or psychiatrist is crucial for effective treatment.",False
2025-08-23T00:19:04.997965,test123,I am feeling anxious,"Anxiety is a common mental health concern. Some strategies that may help include deep breathing exercises, mindfulness meditation, regular exercise, and maintaining a consistent sleep schedule. It's important to talk to a mental health professional if anxiety is significantly impacting your daily life.",False
2025-08-23T00:21:07.932052,test123,I am feeling sad,"Depression is a serious mental health condition that affects how you feel, think, and behave. Symptoms may include persistent sadness, loss of interest in activities, changes in appetite or sleep, and feelings of worthlessness. Professional help from a therapist or psychiatrist is crucial for effective treatment.",False
2025-08-23T00:21:13.125794,test123,I am feeling anxious,"Anxiety is a common mental health concern. Some strategies that may help include deep breathing exercises, mindfulness meditation, regular exercise, and maintaining a consistent sleep schedule. It's important to talk to a mental health professional if anxiety is significantly impacting your daily life.",False
2025-08-23T00:37:00.143292,test123,I am feeling sad,"Depression is a serious mental health condition that affects how you feel, think, and behave. Symptoms may include persistent sadness, loss of interest in activities, changes in appetite or sleep, and feelings of worthlessness. Professional help from a therapist or psychiatrist is crucial for effective treatment.",False
2025-08-23T00:39:05.589636,session_1755898739571_tdlhe88u1,hi,Hello! I'm here to provide mental health support and information. How are you feeling today?,False
2025-08-23T00:39:11.530987,session_1755898739571_tdlhe88u1,sad,"Depression is a serious mental health condition that affects how you feel, think, and behave. Symptoms may include persistent sadness, loss of interest in activities, changes in appetite or sleep, and feelings of worthlessness. Professional help from a therapist or psychiatrist is crucial for effective treatment.",False
2025-08-23T00:39:25.385767,session_1755898739571_tdlhe88u1,im suicidal,"If you're experiencing a mental health crisis, please contact emergency services or call 988 (Suicide & Crisis Lifeline) immediately. Your safety is important.",True
2025-08-23T00:39:34.763793,session_1755898739571_tdlhe88u1,happy,"I understand you're going through a difficult time. While I can provide general information, it's important to speak with a mental health professional for personalized support. Consider reaching out to a therapist, counselor, or your healthcare provider.",False
2025-08-23T00:39:43.902750,session_1755898739571_tdlhe88u1,okay,"I understand you're going through a difficult time. While I can provide general information, it's important to speak with a mental health professional for personalized support. Consider reaching out to a therapist, counselor, or your healthcare provider.",False
2025-08-23T00:39:58.232037,session_1755898739571_tdlhe88u1,how are you,Hello! I'm here to provide mental health support and information. How are you feeling today?,False
2025-08-23T00:40:13.964234,session_1755898739571_tdlhe88u1,I'm anxious what should I do,"Anxiety is a common mental health concern. Some strategies that may help include deep breathing exercises, mindfulness meditation, regular exercise, and maintaining a consistent sleep schedule. It's important to talk to a mental health professional if anxiety is significantly impacting your daily life.",False
2025-08-23T00:41:10.922504,test123,"Hello, how are you?",Hello! I'm here to provide mental health support and information. How are you feeling today?,False
2025-08-23T00:41:16.446285,test123,I am feeling very anxious and worried,"Anxiety is a common mental health concern. Some strategies that may help include deep breathing exercises, mindfulness meditation, regular exercise, and maintaining a consistent sleep schedule. It's important to talk to a mental health professional if anxiety is significantly impacting your daily life.",False
